Isolate_Id	PB2 Segment_Id	PB1 Segment_Id	PA Segment_Id	HA Segment_Id	Location	Collection_Date	Host_Age	Host_Age_Unit
EPI_ISL_269300				EPI1022013 | 17S1074.4	Oceania / Australia / South Australia / North Adelaide	2017-01-02		Y
EPI_ISL_269295				EPI1021998 | 17S1069.4	Asia / Sri Lanka / Soouthern Province	2017-01-04	6	M
EPI_ISL_269265				EPI1021915 | 17S1182	Oceania / Australia / Queensland / Brisbane	2017-01-16		Y
EPI_ISL_268689				EPI1019899 | A/Austria/966932/2017	Europe / Austria / Bundesland Tirol	2017-01-20	32	Y
EPI_ISL_268686				EPI1019893 | A/Austria/965882/2017	Europe / Austria / Lower Austria	2017-01-20	14	Y
EPI_ISL_268519				EPI1018228 | A/Austria/963153/2017	Europe / Austria / Lower Austria	2017-01-07	59	Y
EPI_ISL_268514				EPI1018212 | A/Austria/962745/2017	Europe / Austria / Carinthia	2017-01-03	66	Y
EPI_ISL_268373	EPI1017093 | 3000483408_309774_v1_1	EPI1017094 | 3000483408_309774_v1_2	EPI1017092 | 3000483408_309774_v1_3	EPI1017096 | 3000483408_309774_v1_4	Europe / Ukraine	2017-01-16	42	Y
EPI_ISL_268372	EPI1017085 | 3000483390_309792_v1_1	EPI1017086 | 3000483390_309792_v1_2		EPI1017088 | 3000483390_309792_v1_4	Europe / Ukraine	2017-01-12	26	Y
EPI_ISL_268369	EPI1017062 | 3000483387_309770_v1_1	EPI1017063 | 3000483387_309770_v1_2	EPI1017061 | 3000483387_309770_v1_3	EPI1017065 | 3000483387_309770_v1_4	Europe / Ukraine	2017-01-03	34	Y
EPI_ISL_268363	EPI1017014 | 3000483378_309755_v1_1	EPI1017015 | 3000483378_309755_v1_2	EPI1017013 | 3000483378_309755_v1_3	EPI1017017 | 3000483378_309755_v1_4	Europe / Ukraine	2017-01-03	2	Y
EPI_ISL_268359	EPI1016982 | 3000483371_309762_v1_1	EPI1016983 | 3000483371_309762_v1_2	EPI1016981 | 3000483371_309762_v1_3	EPI1016985 | 3000483371_309762_v1_4	Europe / Ukraine	2017-01-04	26	Y
EPI_ISL_268357	EPI1016967 | 3000483369_309764_v1_1	EPI1016968 | 3000483369_309764_v1_2	EPI1016966 | 3000483369_309764_v1_3	EPI1016970 | 3000483369_309764_v1_4	Europe / Ukraine	2017-01-03	28	Y
EPI_ISL_268355	EPI1016951 | 3000483367_309766_v1_1	EPI1016952 | 3000483367_309766_v1_2	EPI1016950 | 3000483367_309766_v1_3	EPI1016954 | 3000483367_309766_v1_4	Europe / Ukraine	2017-01-20	7	Y
EPI_ISL_268342	EPI1016847 | 3000483219_N8K8HKBA_v1_1	EPI1016848 | 3000483219_N8K8HKBA_v1_2	EPI1016846 | 3000483219_N8K8HKBA_v1_3	EPI1016850 | 3000483219_N8K8HKBA_v1_4	Asia / Kyrgyzstan	2017-01-02	16	Y
EPI_ISL_268086				EPI1015927 | A/Extremadura/906/2017_HA	Europe / Spain / Extremadura	2017-01-10	32	Y
EPI_ISL_268055				EPI1015869 | MS-a-cyprus-f79-2017h3J	Europe / Cyprus	2017-01-17		Y
EPI_ISL_268053				EPI1015865 | MS-a-cyprus-f63-2017h3J	Europe / Cyprus	2017-01-13		Y
EPI_ISL_268052				EPI1015863 | MS-a-cyprus-f49-2017h3J	Europe / Cyprus	2017-01-12		Y
EPI_ISL_268050				EPI1015859 | MS-a-cyprus-f32-2017h3J	Europe / Cyprus	2017-01-10		Y
EPI_ISL_267981				EPI1015735 | MS-a-serbia-2420-2017h3J	Europe / Serbia	2017-01-04		Y
EPI_ISL_267980				EPI1015733 | MS-a-serbia-2407-2017h3J	Europe / Serbia	2017-01-04		Y
EPI_ISL_267703				EPI1013067 | MS-a-bulgaria-409-2017h3J	Europe / Bulgaria	2017-01-19	44	Y
EPI_ISL_267098				EPI1010422 | MS-a-belgium-s0013-2017h3J	Europe / Belgium	2017-01-06	73	Y
EPI_ISL_266957				EPI1010178 | HA_17NRW30_T2222-17_O	Europe / Germany	2017-01-20	78	Y
EPI_ISL_266956				EPI1010177 | HA_17NRW126_T2221-17_O	Europe / Germany	2017-01-20	78	Y
EPI_ISL_266954				EPI1010175 | HA_17NRW43_T2219-17_O	Europe / Germany	2017-01-20	74	Y
EPI_ISL_266934				EPI1010083 | A/PaisVasco/853/2017_HA	Europe / Spain / Basque Country	2017-01-03	67	Y
EPI_ISL_266933				EPI1010082 | A/PaisVasco/852/2017_HA	Europe / Spain / Basque Country	2017-01-04	82	Y
EPI_ISL_266926				EPI1010075 | A/PaisVasco/1156/2017_HA	Europe / Spain / Basque Country	2017-01-11	77	Y
EPI_ISL_266925				EPI1010074 | A/PaisVasco/1155/2017_HA	Europe / Spain / Basque Country	2017-01-07	87	Y
